round_number,home_team_name,away_team_name,predictedResult
1,Man United,Fulham,1
1,Ipswich Town,Liverpool,0
1,Arsenal,Wolverhampton,0
1,Everton,Brighton Hove,1
1,Newcastle,Southampton,0
1,Nottingham,Bournemouth,0
1,West Ham,Aston Villa,0
1,Brentford,Crystal Palace,0
1,Chelsea,Man City,-1
1,Leicester City,Tottenham,1
2,Brighton Hove,Man United,-1
2,Crystal Palace,West Ham,-1
2,Fulham,Leicester City,-1
2,Man City,Ipswich Town,1
2,Southampton,Nottingham,-1
2,Tottenham,Everton,1
2,Aston Villa,Arsenal,-1
2,Bournemouth,Newcastle,1
2,Wolverhampton,Chelsea,-1
2,Liverpool,Brentford,1
3,Arsenal,Brighton Hove,1
3,Brentford,Southampton,1
3,Everton,Bournemouth,1
3,Ipswich Town,Fulham,0
3,Leicester City,Aston Villa,-1
3,Nottingham,Wolverhampton,0
3,West Ham,Man City,-1
3,Chelsea,Crystal Palace,1
3,Newcastle,Tottenham,1
3,Man United,Liverpool,1
4,Southampton,Man United,-1
4,Brighton Hove,Ipswich Town,0
4,Crystal Palace,Leicester City,1
4,Fulham,West Ham,-1
4,Liverpool,Nottingham,1
4,Man City,Brentford,1
4,Aston Villa,Everton,1
4,Bournemouth,Chelsea,-1
4,Tottenham,Arsenal,-1
4,Wolverhampton,Newcastle,0
5,West Ham,Chelsea,1
5,Aston Villa,Wolverhampton,0
5,Fulham,Newcastle,-1
5,Leicester City,Everton,1
5,Liverpool,Bournemouth,1
5,Southampton,Ipswich Town,0
5,Tottenham,Brentford,1
5,Crystal Palace,Man United,-1
5,Brighton Hove,Nottingham,0
5,Man City,Arsenal,1
6,Newcastle,Man City,0
6,Arsenal,Leicester City,1
6,Brentford,West Ham,1
6,Chelsea,Brighton Hove,1
6,Everton,Crystal Palace,1
6,Nottingham,Fulham,0
6,Wolverhampton,Liverpool,-1
6,Ipswich Town,Aston Villa,-1
6,Man United,Tottenham,1
6,Bournemouth,Southampton,1
7,Crystal Palace,Liverpool,-1
7,Arsenal,Southampton,1
7,Brentford,Wolverhampton,0
7,Leicester City,Bournemouth,1
7,Man City,Fulham,1
7,West Ham,Ipswich Town,1
7,Everton,Newcastle,1
7,Aston Villa,Man United,-1
7,Chelsea,Nottingham,1
7,Brighton Hove,Tottenham,-1
8,Tottenham,West Ham,1
8,Fulham,Aston Villa,-1
8,Ipswich Town,Everton,0
8,Man United,Brentford,1
8,Newcastle,Brighton Hove,1
8,Southampton,Leicester City,0
8,Bournemouth,Arsenal,-1
8,Wolverhampton,Man City,-1
8,Liverpool,Chelsea,1
8,Nottingham,Crystal Palace,0
9,Leicester City,Nottingham,1
9,Aston Villa,Bournemouth,1
9,Brentford,Ipswich Town,0
9,Brighton Hove,Wolverhampton,0
9,Man City,Southampton,1
9,Everton,Fulham,1
9,Chelsea,Newcastle,1
9,Crystal Palace,Tottenham,-1
9,West Ham,Man United,-1
9,Arsenal,Liverpool,-1
10,Newcastle,Arsenal,1
10,Bournemouth,Man City,-1
10,Ipswich Town,Leicester City,0
10,Liverpool,Brighton Hove,1
10,Nottingham,West Ham,1
10,Southampton,Everton,1
10,Wolverhampton,Crystal Palace,1
10,Tottenham,Aston Villa,1
10,Man United,Chelsea,1
10,Fulham,Brentford,1
11,Brentford,Bournemouth,1
11,Crystal Palace,Fulham,0
11,West Ham,Everton,1
11,Wolverhampton,Southampton,1
11,Brighton Hove,Man City,-1
11,Liverpool,Aston Villa,1
11,Man United,Leicester City,1
11,Nottingham,Newcastle,-1
11,Tottenham,Ipswich Town,1
11,Chelsea,Arsenal,1
12,Leicester City,Chelsea,-1
12,Bournemouth,Brighton Hove,1
12,Arsenal,Nottingham,1
12,Aston Villa,Crystal Palace,1
12,Everton,Brentford,1
12,Fulham,Wolverhampton,0
12,Man City,Tottenham,1
12,Southampton,Liverpool,-1
12,Ipswich Town,Man United,-1
12,Newcastle,West Ham,1
13,Brighton Hove,Southampton,1
13,Brentford,Leicester City,1
13,Crystal Palace,Newcastle,1
13,Nottingham,Ipswich Town,0
13,Wolverhampton,Bournemouth,-1
13,West Ham,Arsenal,-1
13,Chelsea,Aston Villa,1
13,Man United,Everton,1
13,Tottenham,Fulham,1
13,Liverpool,Man City,1
14,Ipswich Town,Crystal Palace,0
14,Leicester City,West Ham,1
14,Everton,Wolverhampton,-1
14,Man City,Nottingham,1
14,Newcastle,Liverpool,-1
14,Southampton,Chelsea,-1
14,Arsenal,Man United,1
14,Aston Villa,Brentford,1
14,Fulham,Brighton Hove,1
14,Bournemouth,Tottenham,-1
15,Everton,Liverpool,0
15,Aston Villa,Southampton,1
15,Brentford,Newcastle,1
15,Crystal Palace,Man City,-1
15,Man United,Nottingham,1
15,Fulham,Arsenal,-1
15,Ipswich Town,Bournemouth,0
15,Leicester City,Brighton Hove,0
15,Tottenham,Chelsea,-1
15,West Ham,Wolverhampton,1
16,Arsenal,Everton,1
16,Liverpool,Fulham,1
16,Newcastle,Leicester City,1
16,Wolverhampton,Ipswich Town,1
16,Nottingham,Aston Villa,0
16,Brighton Hove,Crystal Palace,0
16,Man City,Man United,1
16,Chelsea,Brentford,0
16,Southampton,Tottenham,0
16,Bournemouth,West Ham,0
17,Aston Villa,Man City,-1
17,Brentford,Nottingham,0
17,Ipswich Town,Newcastle,0
17,West Ham,Brighton Hove,0
17,Crystal Palace,Arsenal,-1
17,Everton,Chelsea,1
17,Fulham,Southampton,1
17,Leicester City,Wolverhampton,1
17,Man United,Bournemouth,1
17,Tottenham,Liverpool,0
18,Man City,Everton,1
18,Bournemouth,Crystal Palace,1
18,Chelsea,Fulham,1
18,Newcastle,Aston Villa,1
18,Nottingham,Tottenham,0
18,Southampton,West Ham,1
18,Wolverhampton,Man United,-1
18,Liverpool,Leicester City,1
18,Brighton Hove,Brentford,0
18,Arsenal,Ipswich Town,0
19,Leicester City,Man City,-1
19,Crystal Palace,Southampton,1
19,Everton,Nottingham,0
19,Fulham,Bournemouth,1
19,Tottenham,Wolverhampton,1
19,West Ham,Liverpool,0
19,Aston Villa,Brighton Hove,1
19,Ipswich Town,Chelsea,0
19,Man United,Newcastle,1
19,Brentford,Arsenal,-1
20,Tottenham,Newcastle,0
20,Southampton,Brentford,0
20,Crystal Palace,Chelsea,-1
20,Bournemouth,Everton,1
20,Aston Villa,Leicester City,-1
20,Man City,West Ham,1
20,Brighton Hove,Arsenal,-1
20,Fulham,Ipswich Town,0
20,Liverpool,Man United,0
20,Wolverhampton,Nottingham,1
21,West Ham,Fulham,1
21,Brentford,Man City,-1
21,Chelsea,Bournemouth,1
21,Nottingham,Liverpool,-1
21,Everton,Aston Villa,-1
21,Leicester City,Crystal Palace,1
21,Newcastle,Wolverhampton,0
21,Arsenal,Tottenham,1
21,Ipswich Town,Brighton Hove,0
21,Man United,Southampton,1
22,Newcastle,Bournemouth,0
22,West Ham,Crystal Palace,0
22,Leicester City,Fulham,1
22,Brentford,Liverpool,1
22,Arsenal,Aston Villa,1
22,Man United,Brighton Hove,1
22,Nottingham,Southampton,1
22,Everton,Tottenham,0
22,Ipswich Town,Man City,0
22,Chelsea,Wolverhampton,0
23,Liverpool,Ipswich Town,1
23,Wolverhampton,Arsenal,-1
23,Brighton Hove,Everton,0
23,Southampton,Newcastle,-1
23,Bournemouth,Nottingham,0
23,Man City,Chelsea,1
23,Crystal Palace,Brentford,0
23,Tottenham,Leicester City,1
23,Aston Villa,West Ham,-1
23,Fulham,Man United,-1
24,Wolverhampton,Aston Villa,-1
24,Nottingham,Brighton Hove,0
24,Man United,Crystal Palace,1
24,Newcastle,Fulham,1
24,Everton,Leicester City,1
24,Bournemouth,Liverpool,1
24,Arsenal,Man City,-1
24,Ipswich Town,Southampton,0
24,Brentford,Tottenham,0
24,Chelsea,West Ham,1
25,Southampton,Bournemouth,1
25,Leicester City,Arsenal,-1
25,West Ham,Brentford,-1
25,Brighton Hove,Chelsea,-1
25,Crystal Palace,Everton,0
25,Aston Villa,Ipswich Town,0
25,Tottenham,Man United,1
25,Man City,Newcastle,1
25,Fulham,Nottingham,0
25,Liverpool,Wolverhampton,1
26,Man City,Liverpool,1
26,Everton,Man United,-1
26,Ipswich Town,Tottenham,0
26,Fulham,Crystal Palace,-1
26,Arsenal,West Ham,1
26,Bournemouth,Wolverhampton,0
26,Leicester City,Brentford,0
26,Southampton,Brighton Hove,0
26,Aston Villa,Chelsea,-1
26,Newcastle,Nottingham,1
27,Brighton Hove,Bournemouth,1
27,Nottingham,Arsenal,-1
27,Crystal Palace,Aston Villa,-1
27,Brentford,Everton,1
27,Wolverhampton,Fulham,1
27,Tottenham,Man City,1
27,West Ham,Leicester City,1
27,Man United,Ipswich Town,1
27,Chelsea,Southampton,1
27,Liverpool,Newcastle,1
28,Tottenham,Bournemouth,1
28,Man United,Arsenal,1
28,Brentford,Aston Villa,1
28,Wolverhampton,Everton,1
28,Brighton Hove,Fulham,0
28,Crystal Palace,Ipswich Town,1
28,West Ham,Newcastle,0
28,Nottingham,Man City,-1
28,Liverpool,Southampton,1
28,Chelsea,Leicester City,1
29,Bournemouth,Brentford,1
29,Arsenal,Chelsea,1
29,Aston Villa,Liverpool,-1
29,Everton,West Ham,-1
29,Fulham,Tottenham,0
29,Ipswich Town,Nottingham,0
29,Leicester City,Man United,-1
29,Man City,Brighton Hove,1
29,Newcastle,Crystal Palace,1
29,Southampton,Wolverhampton,-1
30,Bournemouth,Ipswich Town,0
30,Arsenal,Fulham,1
30,Brighton Hove,Aston Villa,0
30,Nottingham,Man United,-1
30,Wolverhampton,West Ham,1
30,Chelsea,Tottenham,0
30,Man City,Leicester City,1
30,Newcastle,Brentford,1
30,Southampton,Crystal Palace,0
30,Liverpool,Everton,1
31,Aston Villa,Nottingham,1
31,Brentford,Chelsea,0
31,Crystal Palace,Brighton Hove,0
31,Everton,Arsenal,1
31,Fulham,Liverpool,-1
31,Ipswich Town,Wolverhampton,0
31,Leicester City,Newcastle,-1
31,Man United,Man City,-1
31,Tottenham,Southampton,1
31,West Ham,Bournemouth,0
32,Bournemouth,Fulham,1
32,Arsenal,Brentford,1
32,Brighton Hove,Leicester City,1
32,Chelsea,Ipswich Town,1
32,Liverpool,West Ham,1
32,Man City,Crystal Palace,1
32,Newcastle,Man United,0
32,Nottingham,Everton,0
32,Southampton,Aston Villa,1
32,Wolverhampton,Tottenham,1
33,Aston Villa,Newcastle,0
33,Brentford,Brighton Hove,1
33,Crystal Palace,Bournemouth,1
33,Everton,Man City,-1
33,Fulham,Chelsea,-1
33,Ipswich Town,Arsenal,-1
33,Leicester City,Liverpool,-1
33,Man United,Wolverhampton,0
33,Tottenham,Nottingham,1
33,West Ham,Southampton,1
34,Bournemouth,Man United,-1
34,Arsenal,Crystal Palace,1
34,Brighton Hove,West Ham,1
34,Chelsea,Everton,1
34,Liverpool,Tottenham,1
34,Man City,Aston Villa,1
34,Newcastle,Ipswich Town,0
34,Nottingham,Brentford,0
34,Southampton,Fulham,1
34,Wolverhampton,Leicester City,-1
35,Arsenal,Bournemouth,1
35,Aston Villa,Fulham,1
35,Brentford,Man United,-1
35,Brighton Hove,Newcastle,1
35,Chelsea,Liverpool,-1
35,Crystal Palace,Nottingham,0
35,Everton,Ipswich Town,1
35,Leicester City,Southampton,1
35,Man City,Wolverhampton,1
35,West Ham,Tottenham,0
36,Bournemouth,Aston Villa,1
36,Fulham,Everton,-1
36,Ipswich Town,Brentford,0
36,Liverpool,Arsenal,1
36,Man United,West Ham,1
36,Newcastle,Chelsea,1
36,Nottingham,Leicester City,1
36,Southampton,Man City,-1
36,Tottenham,Crystal Palace,1
36,Wolverhampton,Brighton Hove,-1
37,Arsenal,Newcastle,1
37,Aston Villa,Tottenham,-1
37,Brentford,Fulham,0
37,Brighton Hove,Liverpool,1
37,Chelsea,Man United,1
37,Crystal Palace,Wolverhampton,-1
37,Everton,Southampton,1
37,Leicester City,Ipswich Town,1
37,Man City,Bournemouth,1
37,West Ham,Nottingham,1
38,Bournemouth,Leicester City,1
38,Fulham,Man City,-1
38,Ipswich Town,West Ham,0
38,Liverpool,Crystal Palace,1
38,Man United,Aston Villa,1
38,Newcastle,Everton,1
38,Nottingham,Chelsea,-1
38,Southampton,Arsenal,1
38,Tottenham,Brighton Hove,1
38,Wolverhampton,Brentford,-1
